year_month,year,month,month_label,boardings,alightings,total_users,stop_count,avg_temp,max_temp,min_temp,rainfall,humidity,wind,sunshine,snow
2024-01-01,2024,1,2024-01,15286971,5878108,21165079,3843,2.332258064516129,7.567741935483871,-2.135483870967742,21.4,58.11612903225806,2.480645161290323,209.2,
2024-02-01,2024,2,2024-02,14139494,5446963,19586457,3849,5.403448275862068,10.367857142857144,1.503448275862069,56.800000000000004,71.0551724137931,2.279310344827586,110.2,
2024-03-01,2024,3,2024-03,17127945,6455484,23583429,3872,8.525806451612903,14.28709677419355,3.193548387096774,70.9,54.645161290322584,2.6129032258064515,211.3,
2024-04-01,2024,4,2024-04,17082351,6399194,23481545,3888,16.253333333333334,22.470000000000002,10.823333333333332,60.599999999999994,61.526666666666664,2.1766666666666667,184.8,
2024-05-01,2024,5,2024-05,17949832,6755463,24705295,3893,19.383870967741935,26.19677419354839,12.922580645161291,59.8,56.81935483870968,2.370967741935484,281.2,
2024-06-01,2024,6,2024-06,16515801,6187848,22703649,3889,24.6,30.40666666666667,19.386666666666667,98.3,60.79666666666667,1.9466666666666665,233.7,
2024-07-01,2024,7,2024-07,17200694,6413918,23614612,3909,27.812903225806455,31.68064516129032,24.48709677419355,372.20000000000005,74.6032258064516,1.9774193548387096,151.79999999999998,
2024-08-01,2024,8,2024-08,16379043,6141171,22520214,3910,29.067741935483873,34.380645161290325,25.04516129032258,118.3,69.71290322580644,2.2516129032258063,250.29999999999998,
2024-09-01,2024,9,2024-09,16458477,6127015,22585492,3918,25.44,30.42,21.61,151.5,75.01,1.8933333333333333,163.9,
2024-10-01,2024,10,2024-10,17714484,6512583,24227067,3925,17.0258064516129,21.822580645161292,12.958064516129031,94.9,76.25483870967743,1.6935483870967742,148.1,
2024-11-01,2024,11,2024-11,16066276,5902403,21968679,3921,10.65,16.256666666666668,5.963333333333334,50.4,68.92,1.9166666666666667,172.8,
2024-12-01,2024,12,2024-12,15928977,5806959,21735936,3913,3.467741935483871,8.32258064516129,-0.7935483870967741,1.3,49.66451612903226,2.835483870967742,222.0,
2025-01-01,2025,1,2025-01,12717297,4703662,17420959,3908,1.3580645161290323,7.038709677419354,-3.4451612903225803,4.300000000000001,53.33548387096774,2.458064516129032,215.1,1.1
2025-02-01,2025,2,2025-02,12853836,4735600,17589436,3965,1.2249999999999999,6.6000000000000005,-3.392857142857143,12.700000000000001,45.99642857142857,3.275,236.9,3.1
2025-03-01,2025,3,2025-03,15321049,5601037,20922086,3903,9.558064516129033,15.580645161290322,3.7903225806451615,25.4,50.82258064516129,2.693548387096774,216.2,0.1
2025-04-01,2025,4,2025-04,15495532,5606529,21102061,3907,14.893333333333334,21.873333333333335,8.29,41.8,52.05333333333333,2.4633333333333334,257.5,
2025-05-01,2025,5,2025-05,15660504,5655638,21316142,3914,18.13225806451613,24.164516129032258,12.816129032258065,103.60000000000001,63.567741935483866,2.141935483870968,212.0,
2025-06-01,2025,6,2025-06,14796062,5294116,20090178,3931,24.81,30.573333333333334,19.52,163.7,62.59,1.81,201.8,
2025-07-01,2025,7,2025-07,13219471,4726380,17945851,3919,27.980645161290322,33.11290322580645,23.661290322580644,247.99999999999997,68.59354838709677,1.9193548387096775,273.1,
2025-08-01,2025,8,2025-08,14480072,5205145,19685217,3930,28.75483870967742,33.91612903225807,24.40967741935484,158.0,69.58064516129032,1.3516129032258064,209.7,
2025-09-01,2025,9,2025-09,16132196,5696206,21828402,3940,23.90666666666667,28.453333333333333,20.67,150.79999999999998,75.56666666666666,1.7666666666666666,130.5,
2025-10-01,2025,10,2025-10,14997426,5345228,20342654,3929,17.419354838709676,21.393548387096775,14.203225806451613,99.6,76.88064516129033,1.8258064516129033,118.2,
2025-11-01,2025,11,2025-11,15497899,5477514,20975413,3929,9.56,16.19,3.96,12.3,59.79333333333333,1.9533333333333334,232.8,
2025-12-01,2025,12,2025-12,13329382,4680420,18009802,3916,3.47741935483871,8.758064516129032,-1.1838709677419357,8.799999999999999,53.480645161290326,2.416129032258065,191.2,
